geo3,geo2,geo1,geo0
AL011,AL01,AL0,AL
AL012,AL01,AL0,AL
AL013,AL01,AL0,AL
AL014,AL01,AL0,AL
AL015,AL01,AL0,AL
AL021,AL02,AL0,AL
AL022,AL02,AL0,AL
AL031,AL03,AL0,AL
AL032,AL03,AL0,AL
AL033,AL03,AL0,AL
AL034,AL03,AL0,AL
AL035,AL03,AL0,AL
AT111,AT11,AT1,AT
AT112,AT11,AT1,AT
AT113,AT11,AT1,AT
AT121,AT12,AT1,AT
AT122,AT12,AT1,AT
AT123,AT12,AT1,AT
AT124,AT12,AT1,AT
AT125,AT12,AT1,AT
AT126,AT12,AT1,AT
AT127,AT12,AT1,AT
AT130,AT13,AT1,AT
AT211,AT21,AT2,AT
AT212,AT21,AT2,AT
AT213,AT21,AT2,AT
AT221,AT22,AT2,AT
AT222,AT22,AT2,AT
AT223,AT22,AT2,AT
AT224,AT22,AT2,AT
AT225,AT22,AT2,AT
AT226,AT22,AT2,AT
AT311,AT31,AT3,AT
AT312,AT31,AT3,AT
AT313,AT31,AT3,AT
AT314,AT31,AT3,AT
AT315,AT31,AT3,AT
AT321,AT32,AT3,AT
AT322,AT32,AT3,AT
AT323,AT32,AT3,AT
AT331,AT33,AT3,AT
AT332,AT33,AT3,AT
AT333,AT33,AT3,AT
AT334,AT33,AT3,AT
AT335,AT33,AT3,AT
AT341,AT34,AT3,AT
AT342,AT34,AT3,AT
BE100,BE10,BE1,BE
BE211,BE21,BE2,BE
BE212,BE21,BE2,BE
BE213,BE21,BE2,BE
BE221,BE22,BE2,BE
BE222,BE22,BE2,BE
BE223,BE22,BE2,BE
BE231,BE23,BE2,BE
BE232,BE23,BE2,BE
BE233,BE23,BE2,BE
BE234,BE23,BE2,BE
BE235,BE23,BE2,BE
BE236,BE23,BE2,BE
BE241,BE24,BE2,BE
BE242,BE24,BE2,BE
BE251,BE25,BE2,BE
BE252,BE25,BE2,BE
BE253,BE25,BE2,BE
BE254,BE25,BE2,BE
BE255,BE25,BE2,BE
BE256,BE25,BE2,BE
BE257,BE25,BE2,BE
BE258,BE25,BE2,BE
BE310,BE31,BE3,BE
BE321,BE32,BE3,BE
BE322,BE32,BE3,BE
BE323,BE32,BE3,BE
BE324,BE32,BE3,BE
BE325,BE32,BE3,BE
BE326,BE32,BE3,BE
BE327,BE32,BE3,BE
BE331,BE33,BE3,BE
BE332,BE33,BE3,BE
BE334,BE33,BE3,BE
BE335,BE33,BE3,BE
BE336,BE33,BE3,BE
BE341,BE34,BE3,BE
BE342,BE34,BE3,BE
BE343,BE34,BE3,BE
BE344,BE34,BE3,BE
BE345,BE34,BE3,BE
BE351,BE35,BE3,BE
BE352,BE35,BE3,BE
BE353,BE35,BE3,BE
BG311,BG31,BG3,BG
BG312,BG31,BG3,BG
BG313,BG31,BG3,BG
BG314,BG31,BG3,BG
BG315,BG31,BG3,BG
BG321,BG32,BG3,BG
BG322,BG32,BG3,BG
BG323,BG32,BG3,BG
BG324,BG32,BG3,BG
BG325,BG32,BG3,BG
BG331,BG33,BG3,BG
BG332,BG33,BG3,BG
BG333,BG33,BG3,BG
BG334,BG33,BG3,BG
BG341,BG34,BG3,BG
BG342,BG34,BG3,BG
BG343,BG34,BG3,BG
BG344,BG34,BG3,BG
BG411,BG41,BG4,BG
BG412,BG41,BG4,BG
BG413,BG41,BG4,BG
BG414,BG41,BG4,BG
BG415,BG41,BG4,BG
BG421,BG42,BG4,BG
BG422,BG42,BG4,BG
BG423,BG42,BG4,BG
BG424,BG42,BG4,BG
BG425,BG42,BG4,BG
CH011,CH01,CH0,CH
CH012,CH01,CH0,CH
CH013,CH01,CH0,CH
CH021,CH02,CH0,CH
CH022,CH02,CH0,CH
CH023,CH02,CH0,CH
CH024,CH02,CH0,CH
CH025,CH02,CH0,CH
CH031,CH03,CH0,CH
CH032,CH03,CH0,CH
CH033,CH03,CH0,CH
CH040,CH04,CH0,CH
CH051,CH05,CH0,CH
CH052,CH05,CH0,CH
CH053,CH05,CH0,CH
CH054,CH05,CH0,CH
CH055,CH05,CH0,CH
CH056,CH05,CH0,CH
CH057,CH05,CH0,CH
CH061,CH06,CH0,CH
CH062,CH06,CH0,CH
CH063,CH06,CH0,CH
CH064,CH06,CH0,CH
CH065,CH06,CH0,CH
CH066,CH06,CH0,CH
CH070,CH07,CH0,CH
CY000,CY00,CY0,CY
CZ010,CZ01,CZ0,CZ
CZ020,CZ02,CZ0,CZ
CZ031,CZ03,CZ0,CZ
CZ032,CZ03,CZ0,CZ
CZ041,CZ04,CZ0,CZ
CZ042,CZ04,CZ0,CZ
CZ051,CZ05,CZ0,CZ
CZ052,CZ05,CZ0,CZ
CZ053,CZ05,CZ0,CZ
CZ063,CZ06,CZ0,CZ
CZ064,CZ06,CZ0,CZ
CZ071,CZ07,CZ0,CZ
CZ072,CZ07,CZ0,CZ
CZ080,CZ08,CZ0,CZ
DE111,DE11,DE1,DE
DE112,DE11,DE1,DE
DE113,DE11,DE1,DE
DE114,DE11,DE1,DE
DE115,DE11,DE1,DE
DE116,DE11,DE1,DE
DE117,DE11,DE1,DE
DE118,DE11,DE1,DE
DE119,DE11,DE1,DE
DE11A,DE11,DE1,DE
DE11B,DE11,DE1,DE
DE11C,DE11,DE1,DE
DE11D,DE11,DE1,DE
DE121,DE12,DE1,DE
DE122,DE12,DE1,DE
DE123,DE12,DE1,DE
DE124,DE12,DE1,DE
DE125,DE12,DE1,DE
DE126,DE12,DE1,DE
DE127,DE12,DE1,DE
DE128,DE12,DE1,DE
DE129,DE12,DE1,DE
DE12A,DE12,DE1,DE
DE12B,DE12,DE1,DE
DE12C,DE12,DE1,DE
DE131,DE13,DE1,DE
DE132,DE13,DE1,DE
DE133,DE13,DE1,DE
DE134,DE13,DE1,DE
DE135,DE13,DE1,DE
DE136,DE13,DE1,DE
DE137,DE13,DE1,DE
DE138,DE13,DE1,DE
DE139,DE13,DE1,DE
DE13A,DE13,DE1,DE
DE141,DE14,DE1,DE
DE142,DE14,DE1,DE
DE143,DE14,DE1,DE
DE144,DE14,DE1,DE
DE145,DE14,DE1,DE
DE146,DE14,DE1,DE
DE147,DE14,DE1,DE
DE148,DE14,DE1,DE
DE149,DE14,DE1,DE
DE211,DE21,DE2,DE
DE212,DE21,DE2,DE
DE213,DE21,DE2,DE
DE214,DE21,DE2,DE
DE215,DE21,DE2,DE
DE216,DE21,DE2,DE
DE217,DE21,DE2,DE
DE218,DE21,DE2,DE
DE219,DE21,DE2,DE
DE21A,DE21,DE2,DE
DE21B,DE21,DE2,DE
DE21C,DE21,DE2,DE
DE21D,DE21,DE2,DE
DE21E,DE21,DE2,DE
DE21F,DE21,DE2,DE
DE21G,DE21,DE2,DE
DE21H,DE21,DE2,DE
DE21I,DE21,DE2,DE
DE21J,DE21,DE2,DE
DE21K,DE21,DE2,DE
DE21L,DE21,DE2,DE
DE21M,DE21,DE2,DE
DE21N,DE21,DE2,DE
DE221,DE22,DE2,DE
DE222,DE22,DE2,DE
DE223,DE22,DE2,DE
DE224,DE22,DE2,DE
DE225,DE22,DE2,DE
DE226,DE22,DE2,DE
DE227,DE22,DE2,DE
DE228,DE22,DE2,DE
DE229,DE22,DE2,DE
DE22A,DE22,DE2,DE
DE22B,DE22,DE2,DE
DE22C,DE22,DE2,DE
DE231,DE23,DE2,DE
DE232,DE23,DE2,DE
DE233,DE23,DE2,DE
DE234,DE23,DE2,DE
DE235,DE23,DE2,DE
DE236,DE23,DE2,DE
DE237,DE23,DE2,DE
DE238,DE23,DE2,DE
DE239,DE23,DE2,DE
DE23A,DE23,DE2,DE
DE241,DE24,DE2,DE
DE242,DE24,DE2,DE
DE243,DE24,DE2,DE
DE244,DE24,DE2,DE
DE245,DE24,DE2,DE
DE246,DE24,DE2,DE
DE247,DE24,DE2,DE
DE248,DE24,DE2,DE
DE249,DE24,DE2,DE
DE24A,DE24,DE2,DE
DE24B,DE24,DE2,DE
DE24C,DE24,DE2,DE
DE24D,DE24,DE2,DE
DE251,DE25,DE2,DE
DE252,DE25,DE2,DE
DE253,DE25,DE2,DE
DE254,DE25,DE2,DE
DE255,DE25,DE2,DE
DE256,DE25,DE2,DE
DE257,DE25,DE2,DE
DE258,DE25,DE2,DE
DE259,DE25,DE2,DE
DE25A,DE25,DE2,DE
DE25B,DE25,DE2,DE
DE25C,DE25,DE2,DE
DE261,DE26,DE2,DE
DE262,DE26,DE2,DE
DE263,DE26,DE2,DE
DE264,DE26,DE2,DE
DE265,DE26,DE2,DE
DE266,DE26,DE2,DE
DE267,DE26,DE2,DE
DE268,DE26,DE2,DE
DE269,DE26,DE2,DE
DE26A,DE26,DE2,DE
DE26B,DE26,DE2,DE
DE26C,DE26,DE2,DE
DE271,DE27,DE2,DE
DE272,DE27,DE2,DE
DE273,DE27,DE2,DE
DE274,DE27,DE2,DE
DE275,DE27,DE2,DE
DE276,DE27,DE2,DE
DE277,DE27,DE2,DE
DE278,DE27,DE2,DE
DE279,DE27,DE2,DE
DE27A,DE27,DE2,DE
DE27B,DE27,DE2,DE
DE27C,DE27,DE2,DE
DE27D,DE27,DE2,DE
DE27E,DE27,DE2,DE
DE300,DE30,DE3,DE
DE401,DE40,DE4,DE
DE402,DE40,DE4,DE
DE403,DE40,DE4,DE
DE404,DE40,DE4,DE
DE405,DE40,DE4,DE
DE406,DE40,DE4,DE
DE407,DE40,DE4,DE
DE408,DE40,DE4,DE
DE409,DE40,DE4,DE
DE40A,DE40,DE4,DE
DE40B,DE40,DE4,DE
DE40C,DE40,DE4,DE
DE40D,DE40,DE4,DE
DE40E,DE40,DE4,DE
DE40F,DE40,DE4,DE
DE40G,DE40,DE4,DE
DE40H,DE40,DE4,DE
DE40I,DE40,DE4,DE
DE501,DE50,DE5,DE
DE502,DE50,DE5,DE
DE600,DE60,DE6,DE
DE711,DE71,DE7,DE
DE712,DE71,DE7,DE
DE713,DE71,DE7,DE
DE714,DE71,DE7,DE
DE715,DE71,DE7,DE
DE716,DE71,DE7,DE
DE717,DE71,DE7,DE
DE718,DE71,DE7,DE
DE719,DE71,DE7,DE
DE71A,DE71,DE7,DE
DE71B,DE71,DE7,DE
DE71C,DE71,DE7,DE
DE71D,DE71,DE7,DE
DE71E,DE71,DE7,DE
DE721,DE72,DE7,DE
DE722,DE72,DE7,DE
DE723,DE72,DE7,DE
DE724,DE72,DE7,DE
DE725,DE72,DE7,DE
DE731,DE73,DE7,DE
DE732,DE73,DE7,DE
DE733,DE73,DE7,DE
DE734,DE73,DE7,DE
DE735,DE73,DE7,DE
DE736,DE73,DE7,DE
DE737,DE73,DE7,DE
DE803,DE80,DE8,DE
DE804,DE80,DE8,DE
DE80J,DE80,DE8,DE
DE80K,DE80,DE8,DE
DE80L,DE80,DE8,DE
DE80M,DE80,DE8,DE
DE80N,DE80,DE8,DE
DE80O,DE80,DE8,DE
DE911,DE91,DE9,DE
DE912,DE91,DE9,DE
DE913,DE91,DE9,DE
DE914,DE91,DE9,DE
DE916,DE91,DE9,DE
DE917,DE91,DE9,DE
DE918,DE91,DE9,DE
DE91A,DE91,DE9,DE
DE91B,DE91,DE9,DE
DE91C,DE91,DE9,DE
DE922,DE92,DE9,DE
DE923,DE92,DE9,DE
DE925,DE92,DE9,DE
DE926,DE92,DE9,DE
DE927,DE92,DE9,DE
DE928,DE92,DE9,DE
DE929,DE92,DE9,DE
DE931,DE93,DE9,DE
DE932,DE93,DE9,DE
DE933,DE93,DE9,DE
DE934,DE93,DE9,DE
DE935,DE93,DE9,DE
DE936,DE93,DE9,DE
DE937,DE93,DE9,DE
DE938,DE93,DE9,DE
DE939,DE93,DE9,DE
DE93A,DE93,DE9,DE
DE93B,DE93,DE9,DE
DE941,DE94,DE9,DE
DE942,DE94,DE9,DE
DE943,DE94,DE9,DE
DE944,DE94,DE9,DE
DE945,DE94,DE9,DE
DE946,DE94,DE9,DE
DE947,DE94,DE9,DE
DE948,DE94,DE9,DE
DE949,DE94,DE9,DE
DE94A,DE94,DE9,DE
DE94B,DE94,DE9,DE
DE94C,DE94,DE9,DE
DE94D,DE94,DE9,DE
DE94E,DE94,DE9,DE
DE94F,DE94,DE9,DE
DE94G,DE94,DE9,DE
DE94H,DE94,DE9,DE
DEA11,DEA1,DEA,DE
DEA12,DEA1,DEA,DE
DEA13,DEA1,DEA,DE
DEA14,DEA1,DEA,DE
DEA15,DEA1,DEA,DE
DEA16,DEA1,DEA,DE
DEA17,DEA1,DEA,DE
DEA18,DEA1,DEA,DE
DEA19,DEA1,DEA,DE
DEA1A,DEA1,DEA,DE
DEA1B,DEA1,DEA,DE
DEA1C,DEA1,DEA,DE
DEA1D,DEA1,DEA,DE
DEA1E,DEA1,DEA,DE
DEA1F,DEA1,DEA,DE
DEA22,DEA2,DEA,DE
DEA23,DEA2,DEA,DE
DEA24,DEA2,DEA,DE
DEA26,DEA2,DEA,DE
DEA27,DEA2,DEA,DE
DEA28,DEA2,DEA,DE
DEA29,DEA2,DEA,DE
DEA2A,DEA2,DEA,DE
DEA2B,DEA2,DEA,DE
DEA2C,DEA2,DEA,DE
DEA2D,DEA2,DEA,DE
DEA31,DEA3,DEA,DE
DEA32,DEA3,DEA,DE
DEA33,DEA3,DEA,DE
DEA34,DEA3,DEA,DE
DEA35,DEA3,DEA,DE
DEA36,DEA3,DEA,DE
DEA37,DEA3,DEA,DE
DEA38,DEA3,DEA,DE
DEA41,DEA4,DEA,DE
DEA42,DEA4,DEA,DE
DEA43,DEA4,DEA,DE
DEA44,DEA4,DEA,DE
DEA45,DEA4,DEA,DE
DEA46,DEA4,DEA,DE
DEA47,DEA4,DEA,DE
DEA51,DEA5,DEA,DE
DEA52,DEA5,DEA,DE
DEA53,DEA5,DEA,DE
DEA54,DEA5,DEA,DE
DEA55,DEA5,DEA,DE
DEA56,DEA5,DEA,DE
DEA57,DEA5,DEA,DE
DEA58,DEA5,DEA,DE
DEA59,DEA5,DEA,DE
DEA5A,DEA5,DEA,DE
DEA5B,DEA5,DEA,DE
DEA5C,DEA5,DEA,DE
DEB11,DEB1,DEB,DE
DEB12,DEB1,DEB,DE
DEB13,DEB1,DEB,DE
DEB14,DEB1,DEB,DE
DEB15,DEB1,DEB,DE
DEB17,DEB1,DEB,DE
DEB18,DEB1,DEB,DE
DEB1A,DEB1,DEB,DE
DEB1B,DEB1,DEB,DE
DEB1C,DEB1,DEB,DE
DEB1D,DEB1,DEB,DE
DEB21,DEB2,DEB,DE
DEB22,DEB2,DEB,DE
DEB23,DEB2,DEB,DE
DEB24,DEB2,DEB,DE
DEB25,DEB2,DEB,DE
DEB31,DEB3,DEB,DE
DEB32,DEB3,DEB,DE
DEB33,DEB3,DEB,DE
DEB34,DEB3,DEB,DE
DEB35,DEB3,DEB,DE
DEB36,DEB3,DEB,DE
DEB37,DEB3,DEB,DE
DEB38,DEB3,DEB,DE
DEB39,DEB3,DEB,DE
DEB3A,DEB3,DEB,DE
DEB3B,DEB3,DEB,DE
DEB3C,DEB3,DEB,DE
DEB3D,DEB3,DEB,DE
DEB3E,DEB3,DEB,DE
DEB3F,DEB3,DEB,DE
DEB3G,DEB3,DEB,DE
DEB3H,DEB3,DEB,DE
DEB3I,DEB3,DEB,DE
DEB3J,DEB3,DEB,DE
DEB3K,DEB3,DEB,DE
DEC01,DEC0,DEC,DE
DEC02,DEC0,DEC,DE
DEC03,DEC0,DEC,DE
DEC04,DEC0,DEC,DE
DEC05,DEC0,DEC,DE
DEC06,DEC0,DEC,DE
DED21,DED2,DED,DE
DED2C,DED2,DED,DE
DED2D,DED2,DED,DE
DED2E,DED2,DED,DE
DED2F,DED2,DED,DE
DED41,DED4,DED,DE
DED42,DED4,DED,DE
DED43,DED4,DED,DE
DED44,DED4,DED,DE
DED45,DED4,DED,DE
DED51,DED5,DED,DE
DED52,DED5,DED,DE
DED53,DED5,DED,DE
DEE01,DEE0,DEE,DE
DEE02,DEE0,DEE,DE
DEE03,DEE0,DEE,DE
DEE04,DEE0,DEE,DE
DEE05,DEE0,DEE,DE
DEE06,DEE0,DEE,DE
DEE07,DEE0,DEE,DE
DEE08,DEE0,DEE,DE
DEE09,DEE0,DEE,DE
DEE0A,DEE0,DEE,DE
DEE0B,DEE0,DEE,DE
DEE0C,DEE0,DEE,DE
DEE0D,DEE0,DEE,DE
DEE0E,DEE0,DEE,DE
DEF01,DEF0,DEF,DE
DEF02,DEF0,DEF,DE
DEF03,DEF0,DEF,DE
DEF04,DEF0,DEF,DE
DEF05,DEF0,DEF,DE
DEF06,DEF0,DEF,DE
DEF07,DEF0,DEF,DE
DEF08,DEF0,DEF,DE
DEF09,DEF0,DEF,DE
DEF0A,DEF0,DEF,DE
DEF0B,DEF0,DEF,DE
DEF0C,DEF0,DEF,DE
DEF0D,DEF0,DEF,DE
DEF0E,DEF0,DEF,DE
DEF0F,DEF0,DEF,DE
DEG01,DEG0,DEG,DE
DEG02,DEG0,DEG,DE
DEG03,DEG0,DEG,DE
DEG04,DEG0,DEG,DE
DEG05,DEG0,DEG,DE
DEG06,DEG0,DEG,DE
DEG07,DEG0,DEG,DE
DEG09,DEG0,DEG,DE
DEG0A,DEG0,DEG,DE
DEG0B,DEG0,DEG,DE
DEG0C,DEG0,DEG,DE
DEG0D,DEG0,DEG,DE
DEG0E,DEG0,DEG,DE
DEG0F,DEG0,DEG,DE
DEG0G,DEG0,DEG,DE
DEG0H,DEG0,DEG,DE
DEG0I,DEG0,DEG,DE
DEG0J,DEG0,DEG,DE
DEG0K,DEG0,DEG,DE
DEG0L,DEG0,DEG,DE
DEG0M,DEG0,DEG,DE
DEG0N,DEG0,DEG,DE
DEG0P,DEG0,DEG,DE
DK011,DK01,DK0,DK
DK012,DK01,DK0,DK
DK013,DK01,DK0,DK
DK014,DK01,DK0,DK
DK021,DK02,DK0,DK
DK022,DK02,DK0,DK
DK031,DK03,DK0,DK
DK032,DK03,DK0,DK
DK041,DK04,DK0,DK
DK042,DK04,DK0,DK
DK050,DK05,DK0,DK
EE001,EE00,EE0,EE
EE004,EE00,EE0,EE
EE006,EE00,EE0,EE
EE007,EE00,EE0,EE
EE008,EE00,EE0,EE
EL301,EL30,EL3,EL
EL302,EL30,EL3,EL
EL303,EL30,EL3,EL
EL304,EL30,EL3,EL
EL305,EL30,EL3,EL
EL306,EL30,EL3,EL
EL307,EL30,EL3,EL
EL411,EL41,EL4,EL
EL412,EL41,EL4,EL
EL413,EL41,EL4,EL
EL421,EL42,EL4,EL
EL422,EL42,EL4,EL
EL431,EL43,EL4,EL
EL432,EL43,EL4,EL
EL433,EL43,EL4,EL
EL434,EL43,EL4,EL
EL511,EL51,EL5,EL
EL512,EL51,EL5,EL
EL513,EL51,EL5,EL
EL514,EL51,EL5,EL
EL515,EL51,EL5,EL
EL521,EL52,EL5,EL
EL522,EL52,EL5,EL
EL523,EL52,EL5,EL
EL524,EL52,EL5,EL
EL525,EL52,EL5,EL
EL526,EL52,EL5,EL
EL527,EL52,EL5,EL
EL531,EL53,EL5,EL
EL532,EL53,EL5,EL
EL533,EL53,EL5,EL
EL541,EL54,EL5,EL
EL542,EL54,EL5,EL
EL543,EL54,EL5,EL
EL611,EL61,EL6,EL
EL612,EL61,EL6,EL
EL613,EL61,EL6,EL
EL621,EL62,EL6,EL
EL622,EL62,EL6,EL
EL623,EL62,EL6,EL
EL624,EL62,EL6,EL
EL631,EL63,EL6,EL
EL632,EL63,EL6,EL
EL633,EL63,EL6,EL
EL641,EL64,EL6,EL
EL642,EL64,EL6,EL
EL643,EL64,EL6,EL
EL644,EL64,EL6,EL
EL645,EL64,EL6,EL
EL651,EL65,EL6,EL
EL652,EL65,EL6,EL
EL653,EL65,EL6,EL
ES111,ES11,ES1,ES
ES112,ES11,ES1,ES
ES113,ES11,ES1,ES
ES114,ES11,ES1,ES
ES120,ES12,ES1,ES
ES130,ES13,ES1,ES
ES211,ES21,ES2,ES
ES212,ES21,ES2,ES
ES213,ES21,ES2,ES
ES220,ES22,ES2,ES
ES230,ES23,ES2,ES
ES241,ES24,ES2,ES
ES242,ES24,ES2,ES
ES243,ES24,ES2,ES
ES300,ES30,ES3,ES
ES411,ES41,ES4,ES
ES412,ES41,ES4,ES
ES413,ES41,ES4,ES
ES414,ES41,ES4,ES
ES415,ES41,ES4,ES
ES416,ES41,ES4,ES
ES417,ES41,ES4,ES
ES418,ES41,ES4,ES
ES419,ES41,ES4,ES
ES421,ES42,ES4,ES
ES422,ES42,ES4,ES
ES423,ES42,ES4,ES
ES424,ES42,ES4,ES
ES425,ES42,ES4,ES
ES431,ES43,ES4,ES
ES432,ES43,ES4,ES
ES511,ES51,ES5,ES
ES512,ES51,ES5,ES
ES513,ES51,ES5,ES
ES514,ES51,ES5,ES
ES521,ES52,ES5,ES
ES522,ES52,ES5,ES
ES523,ES52,ES5,ES
ES531,ES53,ES5,ES
ES532,ES53,ES5,ES
ES533,ES53,ES5,ES
ES611,ES61,ES6,ES
ES612,ES61,ES6,ES
ES613,ES61,ES6,ES
ES614,ES61,ES6,ES
ES615,ES61,ES6,ES
ES616,ES61,ES6,ES
ES617,ES61,ES6,ES
ES618,ES61,ES6,ES
ES620,ES62,ES6,ES
ES630,ES63,ES6,ES
ES640,ES64,ES6,ES
ES703,ES70,ES7,ES
ES704,ES70,ES7,ES
ES705,ES70,ES7,ES
ES706,ES70,ES7,ES
ES707,ES70,ES7,ES
ES708,ES70,ES7,ES
ES709,ES70,ES7,ES
FI193,FI19,FI1,FI
FI194,FI19,FI1,FI
FI195,FI19,FI1,FI
FI196,FI19,FI1,FI
FI197,FI19,FI1,FI
FI1B1,FI1B,FI1,FI
FI1C1,FI1C,FI1,FI
FI1C2,FI1C,FI1,FI
FI1C3,FI1C,FI1,FI
FI1C4,FI1C,FI1,FI
FI1C5,FI1C,FI1,FI
FI1D1,FI1D,FI1,FI
FI1D2,FI1D,FI1,FI
FI1D3,FI1D,FI1,FI
FI1D5,FI1D,FI1,FI
FI1D7,FI1D,FI1,FI
FI1D8,FI1D,FI1,FI
FI1D9,FI1D,FI1,FI
FI200,FI20,FI2,FI
FR101,FR10,FR1,FR
FR102,FR10,FR1,FR
FR103,FR10,FR1,FR
FR104,FR10,FR1,FR
FR105,FR10,FR1,FR
FR106,FR10,FR1,FR
FR107,FR10,FR1,FR
FR108,FR10,FR1,FR
FRB01,FRB0,FRB,FR
FRB02,FRB0,FRB,FR
FRB03,FRB0,FRB,FR
FRB04,FRB0,FRB,FR
FRB05,FRB0,FRB,FR
FRB06,FRB0,FRB,FR
FRC11,FRC1,FRC,FR
FRC12,FRC1,FRC,FR
FRC13,FRC1,FRC,FR
FRC14,FRC1,FRC,FR
FRC21,FRC2,FRC,FR
FRC22,FRC2,FRC,FR
FRC23,FRC2,FRC,FR
FRC24,FRC2,FRC,FR
FRD11,FRD1,FRD,FR
FRD12,FRD1,FRD,FR
FRD13,FRD1,FRD,FR
FRD21,FRD2,FRD,FR
FRD22,FRD2,FRD,FR
FRE11,FRE1,FRE,FR
FRE12,FRE1,FRE,FR
FRE21,FRE2,FRE,FR
FRE22,FRE2,FRE,FR
FRE23,FRE2,FRE,FR
FRF11,FRF1,FRF,FR
FRF12,FRF1,FRF,FR
FRF21,FRF2,FRF,FR
FRF22,FRF2,FRF,FR
FRF23,FRF2,FRF,FR
FRF24,FRF2,FRF,FR
FRF31,FRF3,FRF,FR
FRF32,FRF3,FRF,FR
FRF33,FRF3,FRF,FR
FRF34,FRF3,FRF,FR
FRG01,FRG0,FRG,FR
FRG02,FRG0,FRG,FR
FRG03,FRG0,FRG,FR
FRG04,FRG0,FRG,FR
FRG05,FRG0,FRG,FR
FRH01,FRH0,FRH,FR
FRH02,FRH0,FRH,FR
FRH03,FRH0,FRH,FR
FRH04,FRH0,FRH,FR
FRI11,FRI1,FRI,FR
FRI12,FRI1,FRI,FR
